total_points,missing_data,saturation,jumps,spikes,valid_points,date
5529344,0,0,22,977459,4551863,20150301
5529600,0,0,17,645611,4883972,20150302
5529600,0,0,24,974275,4555301,20150303
5529600,0,0,23,976845,4552732,20150304
5529600,0,0,15,662848,4866737,20150305
5529600,0,0,24,947368,4582208,20150306
5529344,0,0,24,977258,4552062,20150307
5529344,0,0,20,707476,4821848,20150308
5529344,0,0,19,912619,4616706,20150309
5529344,0,0,27,977698,4551619,20150310
5529344,0,0,21,752180,4777143,20150311
5529344,0,0,18,872749,4656577,20150312
5529600,0,0,25,979277,4550298,20150313
5529344,0,0,22,797590,4731732,20150314
5529600,0,0,19,825956,4703625,20150315
5529600,0,0,24,980427,4549149,20150316
5529344,0,0,21,845060,4684263,20150317
5529600,0,0,21,794960,4734619,20150318
5529600,0,0,23,981070,4548507,20150319
5529600,0,0,20,883136,4646444,20150320
5529600,0,0,23,740508,4789069,20150321
5529856,0,0,27,982138,4547691,20150322
5529600,0,0,25,928473,4601102,20150323
5529600,0,0,18,675711,4853871,20150324
5529600,0,0,24,983199,4546377,20150325
5529600,0,0,24,972875,4556701,20150326
5529600,0,0,16,656163,4873421,20150327
5529600,0,0,23,982840,4546737,20150328
5529600,0,0,24,977993,4551583,20150329
5529600,0,0,17,656462,4873121,20150330
5529600,0,0,25,984875,4544700,20150331
