Onset_Time,Min_Time,End_Time,Min_SymH,Intensity
2015-01-02 10:19:00,2015-01-03 01:42:00,2015-01-03 04:29:00,-56,Moderate
2015-01-03 20:04:00,2015-01-04 16:42:00,2015-01-06 18:49:00,-79,Moderate
2015-01-07 07:21:00,2015-01-07 11:00:00,2015-01-09 21:06:00,-135,Intense
2015-01-25 21:36:00,2015-01-26 10:30:00,2015-01-26 20:40:00,-54,Moderate
2015-02-01 20:24:00,2015-02-02 06:35:00,2015-02-02 11:48:00,-52,Moderate
2015-02-16 22:09:00,2015-02-17 23:55:00,2015-02-18 19:30:00,-70,Moderate
2015-02-23 03:43:00,2015-02-24 03:36:00,2015-02-24 21:13:00,-76,Moderate
2015-02-28 06:30:00,2015-03-01 07:56:00,2015-03-01 15:35:00,-61,Moderate
2015-03-01 18:38:00,2015-03-02 08:51:00,2015-03-02 19:55:00,-70,Moderate
2015-03-17 04:48:00,2015-03-17 22:47:00,2015-03-22 00:02:00,-234,Intense
2015-03-22 03:42:00,2015-03-22 08:06:00,2015-03-22 11:24:00,-69,Moderate
2015-04-09 21:51:00,2015-04-10 04:34:00,2015-04-10 06:53:00,-71,Moderate
2015-04-09 21:51:00,2015-04-10 09:04:00,2015-04-10 12:38:00,-59,Moderate
2015-04-10 16:42:00,2015-04-11 09:36:00,2015-04-12 03:13:00,-89,Moderate
2015-04-14 12:51:00,2015-04-15 11:33:00,2015-04-15 14:58:00,-50,Moderate
2015-04-15 07:19:00,2015-04-16 23:29:00,2015-04-18 07:24:00,-88,Moderate
2015-05-10 02:52:00,2015-05-11 04:01:00,2015-05-11 23:14:00,-57,Moderate
2015-05-12 00:27:00,2015-05-12 11:34:00,2015-05-12 21:22:00,-50,Moderate
2015-05-12 22:08:00,2015-05-13 06:59:00,2015-05-14 07:08:00,-98,Moderate
2015-05-18 06:10:00,2015-05-19 02:55:00,2015-05-19 07:21:00,-64,Moderate
2015-06-07 13:37:00,2015-06-08 07:45:00,2015-06-10 04:08:00,-105,Intense
2015-06-21 17:54:00,2015-06-22 16:15:00,2015-06-22 18:16:00,-50,Moderate
2015-06-22 18:37:00,2015-06-23 04:24:00,2015-06-25 05:38:00,-208,Intense
2015-06-25 05:38:00,2015-06-25 19:43:00,2015-06-29 04:40:00,-90,Moderate
2015-07-04 15:51:00,2015-07-05 04:52:00,2015-07-07 19:46:00,-87,Moderate
2015-07-13 01:39:00,2015-07-13 10:54:00,2015-07-14 16:10:00,-71,Moderate
2015-07-22 14:21:00,2015-07-23 07:28:00,2015-07-25 07:27:00,-83,Moderate
2015-07-30 16:11:00,2015-07-31 02:59:00,2015-07-31 05:00:00,-52,Moderate
2015-08-15 08:34:00,2015-08-16 07:37:00,2015-08-16 18:42:00,-94,Moderate
2015-08-18 16:13:00,2015-08-19 06:14:00,2015-08-19 14:50:00,-57,Moderate
2015-08-23 02:43:00,2015-08-23 08:34:00,2015-08-23 23:18:00,-62,Moderate
2015-08-25 16:30:00,2015-08-26 09:24:00,2015-08-26 13:03:00,-60,Moderate
2015-08-26 04:46:00,2015-08-27 20:32:00,2015-08-29 12:50:00,-101,Intense
2015-09-07 01:40:00,2015-09-08 01:49:00,2015-09-08 07:17:00,-91,Moderate
2015-09-08 20:12:00,2015-09-09 08:03:00,2015-09-10 15:35:00,-113,Intense
2015-09-10 21:02:00,2015-09-11 14:21:00,2015-09-12 23:49:00,-95,Moderate
2015-09-20 06:10:00,2015-09-20 11:05:00,2015-09-21 10:14:00,-84,Moderate
2015-10-03 13:38:00,2015-10-04 07:33:00,2015-10-04 12:56:00,-52,Moderate
2015-10-06 09:31:00,2015-10-07 22:23:00,2015-10-09 09:02:00,-124,Intense
2015-10-13 11:23:00,2015-10-14 06:05:00,2015-10-14 09:04:00,-52,Moderate
2015-11-03 07:38:00,2015-11-03 12:43:00,2015-11-04 03:54:00,-60,Moderate
2015-11-04 04:05:00,2015-11-04 13:01:00,2015-11-04 19:16:00,-67,Moderate
2015-11-06 18:23:00,2015-11-07 06:05:00,2015-11-10 11:58:00,-106,Intense
2015-11-10 12:06:00,2015-11-10 16:23:00,2015-11-12 05:54:00,-61,Moderate
2015-12-14 15:11:00,2015-12-14 19:04:00,2015-12-15 15:41:00,-60,Moderate
2015-12-19 21:44:00,2015-12-20 22:49:00,2015-12-22 07:05:00,-170,Intense
