band,start_time,end_time,duration,max_power,integrated_power,dominant_frequency,bandwidth,L,MLT,MLAT,Storm_Phase
Pc1,2015-03-01 03:15:35.433208,2015-03-01 04:41:52.006560,92.53125,11.323125024155384,679.5798315321301,0.18372171563660927,0.010807159743329964,2.28363,3.41431,0.822128,Main Phase
Pc1,2015-03-01 12:13:10.491379,2015-03-01 13:39:47.252330,140.46875,9.114599345877535,818.0769649842289,0.18509454949944384,0.007119021134594006,2.23625,3.61854,4.9611,Recovery Phase
Pc1,2015-03-01 21:09:29.689098,2015-03-01 22:36:54.684421,112.109375,8.547339181721247,585.0944387256714,0.1873170731707317,0.0089198606271777,2.42464,3.2359,-10.7251,Main Phase
Pc1,2015-03-02 06:12:14.952014,2015-03-02 07:38:58.509842,101.890625,11.18925695882423,671.6940124949641,0.18647446710627202,0.009814445637172209,2.3098,3.44844,7.05931,Main Phase
Pc1,2015-03-02 15:08:33.337351,2015-03-02 16:33:11.550634,91.890625,4.855637627294394,291.5732749671778,0.18500255058663492,0.0,2.25824,3.51201,-2.22082,Recovery Phase
Pc1,2015-03-03 00:08:16.177044,2015-03-03 01:33:29.593751,105.046875,11.721578464381771,703.9413757090183,0.1808716346868957,0.009519559720362947,2.22547,3.45755,-6.06328,Quiet
Pc1,2015-03-03 09:06:26.923190,2015-03-03 10:34:48.090989,108.0,10.610421763574939,638.5487540078775,0.18518518518518517,0.0,2.39295,3.38371,8.5909,Quiet
Pc1,2015-03-03 18:02:56.590708,2015-03-03 19:28:19.476023,100.921875,6.682293824810433,401.90315229032456,0.1882644372193838,0.009908654590493893,2.33369,3.41335,-8.47211,Quiet
Pc1,2015-03-04 03:04:10.337539,2015-03-04 04:30:19.629483,95.140625,12.879988880071474,773.0149694086073,0.18919362785350632,0.02102151420594514,2.23036,3.42827,1.15979,Quiet
Pc1,2015-03-04 12:01:40.048470,2015-03-04 13:28:24.886047,135.1875,8.987398055023682,782.3371966875411,0.18492834026814609,0.0,2.36301,3.25282,4.51784,Quiet
